batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,range_mean,grad_mean,grad_abs_mean,grad_abs_max,frac_push_bits_up,frac_push_bits_down,sum_g_over_s,mean_g_over_s,abs_mean_g_over_s,sens_mean,sens_max
0,likelihood,encoder.layers.0.blocks.3.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.003340561641380191,0.8551837801933289,-0.0026663001626729965,0.0026663001626729965,0.0054541113786399364,0.0,1.0,-2.737060308456421,-0.9123534560203552,0.9123534560203552,4.1543869098610033e-17,4.1543869098610033e-17
0,likelihood,encoder.layers.0.blocks.3.attention.self.query,192,8.0,8.0,8.0,0.00035400886554270983,0.09062626957893372,-9.173876605927944e-06,0.0007103221141733229,0.003911041188985109,0.5052083134651184,0.4947916567325592,-0.46535491943359375,-0.0024237234611064196,1.9962190389633179,4.1543869098610033e-17,4.92970634203161e-16
0,likelihood,encoder.layers.0.blocks.3.attention.self.key,192,8.0,8.0,8.0,0.00034361975849606097,0.08796665817499161,9.410844654667017e-07,0.0007761320448480546,0.005657453089952469,0.5104166865348816,0.4895833432674408,7.789573669433594,0.0405706949532032,2.257338762283325,4.1543869098610033e-17,4.92970634203161e-16
0,likelihood,encoder.layers.0.blocks.3.attention.self.value,192,8.0,8.0,8.0,0.00030317247728817165,0.07761215418577194,-0.0004107022250536829,0.003181642619892955,0.01859157532453537,0.4739583432674408,0.5260416865348816,-258.9639892578125,-1.3487707376480103,10.589934349060059,4.1543869098610033e-17,4.92970634203161e-16
0,likelihood,encoder.layers.0.blocks.3.attention.output.dense,192,8.0,8.0,8.0,0.00024796699290163815,0.06347955018281937,-0.00015598842583131045,0.001683715614490211,0.03167121484875679,0.4635416567325592,0.5364583134651184,-163.0811004638672,-0.8493807315826416,7.032810688018799,4.1543869098610033e-17,4.92970634203161e-16
0,likelihood,encoder.layers.0.blocks.3.intermediate.dense,768,8.0,8.0,8.0,9.676280751591548e-05,0.024771278724074364,0.00032256636768579483,0.0011644025798887014,0.048389628529548645,0.5455729365348816,0.4544270932674408,616.202880859375,0.8023474812507629,5.322591304779053,4.1543879024777384e-17,4.1543869098610033e-17
0,likelihood,encoder.layers.0.blocks.3.output.dense,192,8.0,8.0,8.0,0.00014204475155565888,0.03636345639824867,-6.277141801547259e-05,0.0030737959314137697,0.053126364946365356,0.546875,0.453125,259.767578125,1.3529561758041382,24.416244506835938,4.1543869098610033e-17,4.92970634203161e-16
0,likelihood,encoder.layers.0.blocks.4.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0021316343918442726,0.5456984043121338,4.321625056036282e-06,3.707176074385643e-05,0.0005899925017729402,0.53515625,0.458984375,-3.797536849975586,-0.007417064160108566,0.11741558462381363,4.009875478997784e-17,4.009875478997784e-17
0,likelihood,encoder.layers.0.blocks.4.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.003165588714182377,0.8103907108306885,0.0006100842729210854,0.0009114639833569527,0.0011504096910357475,0.6666666865348816,0.3333333432674408,0.38210275769233704,0.12736758589744568,0.27869072556495667,4.009875478997784e-17,4.009875478997784e-17
0,likelihood,encoder.layers.0.blocks.4.attention.self.query,192,8.0,8.0,8.0,0.00036467445897869766,0.0933566614985466,-9.386322926729918e-05,0.00034945117658935487,0.002446933416649699,0.4114583432674408,0.5885416865348816,-52.603641510009766,-0.2739773094654083,0.9701430201530457,4.009875478997784e-17,4.822796490407133e-16
0,likelihood,encoder.layers.0.blocks.4.attention.self.key,192,8.0,8.0,8.0,0.0003571761480998248,0.09143709391355515,4.626194368029246e-06,0.0004559807712212205,0.002213306725025177,0.4739583432674408,0.5260416865348816,2.483120918273926,0.012932921759784222,1.289139747619629,4.009875478997784e-17,4.822796490407133e-16
